dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Syn_Reg_corr_interact,0.7885074278603095,0.6770636710778267,0.25333333333333335,0.0,0.01799749823195784,0.0005212520871956827,0.05451709731039793,0.40176022545267015,0.00459920094993211,0.0003536513162368137,0.001355281946156789,50.0
Syn_Reg_corr_low,0.6581268680763119,0.3749013211257902,0.44333333333333336,0.10333333333333333,0.03364544566244745,0.0018170584088304195,0.07823384963620325,0.4788748501771146,0.010014663204979953,0.0012861472821425273,0.0033485945484369797,60.0
Syn_Reg_corr_quad,0.8794484383159812,0.7863666633332963,0.05,0.0,0.004186806634132664,2.8209106804369643e-05,0.04397434662762162,0.3323119420549346,0.0030552036739999342,1.9137193475293115e-05,0.001029648499304646,50.0
Syn_Reg_corr_sin,0.7420393559928443,0.42616606851187233,0.36666666666666664,0.12333333333333334,0.027375492487065937,0.0012029295655035784,0.08344874743832346,0.43778983500030166,0.010735936858248385,0.0007992389890607509,0.002904288602614083,60.0
Syn_Reg_friedman1,0.530115667951866,0.20373950821675796,0.71,0.14666666666666667,0.07674863698550731,0.009376937550615817,0.12779351529063598,1.218343029832095,0.024353582662880246,0.006880758755914956,0.007483746826307802,30.0
Syn_Reg_friedman1_15f,0.4893658818431315,0.14847276080845342,0.6833333333333333,0.10333333333333333,0.07588440879239322,0.00972520029751983,0.14791401526405007,1.5378992866765118,0.03464694763290294,0.007394974781283073,0.008611644987537198,20.0
Syn_Reg_friedman1_20f,0.5343943821598017,0.11130790342114913,0.6866666666666666,0.16,0.0827599746025955,0.011668727799202083,0.17955808310774898,1.77868147584027,0.0479633071425928,0.008758161165468379,0.012925887841493889,15.0
Syn_Reg_friedman1_5f,0.6212762364026266,0.3644927610306781,0.55,0.14666666666666667,0.07097437035153153,0.00823181879985072,0.07840688623903068,0.8076645495024294,0.007694539410796966,0.00592744976915953,0.004146825899464192,60.0
Syn_Reg_friedman1_noise,0.5307414526828076,0.19567604084489826,0.6633333333333333,0.13333333333333333,0.07919675042552447,0.010018700123052164,0.12870516400798032,1.2370453358715257,0.024120412901277824,0.007603362772333809,0.007708745640500331,30.0
Syn_Reg_friedman2,0.7743108256758408,0.3540303781153123,0.2733333333333333,0.13,0.06541657855516018,0.007392619387235667,0.062217291521100254,0.678456286940788,0.005695860560447989,0.005921103382653177,0.0022852084430091454,75.0
Syn_Reg_friedman2_noise,0.7744219380215337,0.35392559917332417,0.2733333333333333,0.12333333333333334,0.06536263459382513,0.007381205490950009,0.06218605735208944,0.681192581689021,0.005687571363749212,0.005895250369913856,0.0022490578748141123,75.0
Syn_Reg_friedman3,0.6255260614006822,0.4192371026344738,0.5733333333333334,0.22,0.10600412769658021,0.019207180770890366,0.07652216667250485,0.6849623657289258,0.01646153746339343,0.01687942383691634,0.00746799281260975,75.0
Syn_Reg_friedman3_noise,0.34873720819120213,0.2370428560317337,0.7433333333333333,0.24,0.12917589335776083,0.026737195281833735,0.1631095135366041,0.7860063615728524,0.039820187360717976,0.023423754813672877,0.01770603117370232,75.0
Syn_Reg_hetero_10f,0.4776626406960078,0.25392313247924975,0.6466666666666666,0.04,0.034844311478468185,0.002981428471040547,0.09420370846655789,0.7148660738489048,0.014388669587551636,0.001985387450155148,0.004288768529763203,30.0
Syn_Reg_hetero_corr,0.5236142623806931,0.3358474353418741,0.6666666666666666,0.06,0.03532885222500396,0.0034515110283310515,0.07811654845668288,0.5249555391126063,0.010969772292142629,0.002374815311360117,0.004146496806753362,50.0
Syn_Reg_hetero_high,0.2488672096356626,0.17075056389515436,0.8366666666666667,0.21,0.06885121376063362,0.011593798012888061,0.09831822967133978,0.4361957916738389,0.024333554206576097,0.01059409454877319,0.009106678894127656,75.0
Syn_Reg_hetero_highdim,0.5300845564950721,0.29853042811586794,0.6033333333333334,0.056666666666666664,0.03467105883578339,0.0028509966857946816,0.10355484187930934,0.6039394373626745,0.017155737351375842,0.001910816075817147,0.005392292507064818,37.5
Syn_Reg_hetero_low,0.5670200780008667,0.3502536694852165,0.53,0.2,0.06851409143897379,0.011480540481085504,0.10692643694605888,0.4099020560213139,0.024956207189816768,0.008635370423616343,0.008454006585181459,75.0
Syn_Reg_hetero_small_n,0.7445424542454245,0.29377737773777374,0.26,0.1,0.06995842340528938,0.008796362378019607,0.10754813643260995,0.44695476951026925,0.0225125433868929,0.006394374381625295,0.008173403902277436,25.0
Syn_Reg_highdim_10f,0.8244595278720492,0.181645585284908,0.185,0.05,0.001057707265190525,1.7819375804895833e-06,0.0862853601203923,0.7016857752025077,0.01053543032470159,1.1679740848473e-06,0.003575765725821916,40.0
Syn_Reg_highdim_20f,0.7124343277145482,0.12043646522790766,0.3875,0.065,0.0010533969087023825,1.8332711734387282e-06,0.12447759024873715,1.01358001226412,0.02416373232014064,1.219555147161454e-06,0.007102977466197162,20.0
Syn_Reg_highdim_30f,0.7856619728873304,0.09632433327708297,0.275,0.0,0.0008666226768918575,1.174683486916394e-06,0.11428729897686087,1.2677511804671688,0.02015999772316869,7.80137999085427e-07,0.006281503673231372,13.333333333333334
Syn_Reg_highdim_40f,0.5557755985974911,0.08529752217201356,0.585,0.02,0.0008054105788281709,1.0043906667688462e-06,0.12365019954585225,1.4622554389044113,0.022840515229566077,6.596094801173861e-07,0.0070434485320735405,10.0
