dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Statlog Heart,0.5678326520224957,0.17076653642942433,0.1959058832005507,0.9851851851851852,0.937037037037037,0.02546783605501527,0.14444444444444443,0.10555555555555556,0.12037037037037036,0.36398125474089793,0.24444444444444446,0.1222222222222222,0.5444444444444444,0.9653497942386832,0.9742255266418836,0.6005037227702433,0.8768975633568846,0.04814814814814815,0.03333333333333333,0.6923076923076923,0.008923940161777777,0.024390243902438935
Mushroom,0.5510536632704355,0.0651791195718912,0.0,0.7533333333333333,0.3566666666666667,0.003709303027008635,0.03,0.0225,0.015833333333333335,0.1773605139565307,0.008333333333333304,0.010833333333333334,0.085,0.8889,0.9235781858653311,0.3132501942618776,0.8304343351699397,0.03666666666666667,0.023333333333333334,0.6363636363636364,0.0009700290929750555,0.0026852786808846396
Monks,0.6666666666666662,0.5000000000000001,0.6666666666666667,0.75,0.75,0.07692267307210092,0.3333333333333333,0.2974537037037037,0.08333333333333333,0.3928933116792573,0.33333333333333337,0.13587962962962966,0.7569444444444444,0.992326817558299,0.9631348285640629,0.6069325510071985,0.6077612461768238,0.013888888888888888,0.013888888888888888,1.0,0.0,0.0
Credit Approval,0.2764381067056517,0.12704258127668655,0.0033605185809011517,0.965,0.9383333333333334,0.019059336350094252,0.12166666666666667,0.08583333333333334,0.08916666666666667,0.2975625400053782,0.18000000000000005,0.094,0.38666666666666666,0.9798194444444445,0.9642292710072343,0.4624182541135188,0.896897657661219,0.025,0.015,0.6,0.008745992829631288,0.023910680762770475
Australian,0.30714875740989356,0.14122522615477026,0.0042689541311946,0.9666666666666667,0.9333333333333333,0.02191071296379623,0.135,0.09433333333333334,0.095,0.31811170339759903,0.19166666666666665,0.10799999999999998,0.415,0.9812694444444444,0.9645186421814135,0.4081957953411055,0.8894780760406173,0.023333333333333334,0.015,0.6428571428571429,0.008745992829631288,0.023910680762770475
Wdbc,0.22718432436798272,0.06378467174157797,5.683095248965702e-11,0.4833040421792619,0.012302284710017574,0.0011644952409098357,0.019332161687170474,0.006151142355008788,0.021968365553602813,0.33998108033909585,0.047451669595782064,0.010193321616871706,0.2548330404217926,0.8894925577818206,0.7410393821629249,0.26763462665660864,0.5688209213364197,0.05272407732864675,0.01757469244288225,0.3333333333333333,0.04736487759814023,0.12195970834082581
Spect Heart,0.7545821632755938,0.294726095369405,0.0,0.8576779026217228,0.7902621722846442,0.021732047701746648,0.12359550561797752,0.09288389513108614,0.12921348314606743,0.4091692136833606,0.27340823970037453,0.12808988764044943,0.5917602996254682,0.9741755390032123,0.9578158880346934,0.5836903829123545,0.8676975697223526,0.08239700374531835,0.06741573033707865,0.8181818181818182,0.2662475912010398,0.5138526965331776
Breast-w,0.19488875410455134,0.04161580104137679,0.22030165781965116,0.8816666666666667,0.23833333333333334,0.006274573109011441,0.03166666666666667,0.014666666666666666,0.018333333333333333,0.22688054614280675,0.03500000000000003,0.013500000000000002,0.165,0.6449055555555556,0.6185197551474679,0.27682182610296446,0.39063301492622715,0.015,0.011666666666666667,0.7777777777777778,0.07047681382077375,0.17534896451053728
Chronic Kidney,0.30923440096514937,0.06409391490911637,0.0,0.4725,0.0,0.0,0.0,0.0,0.00375,0.309099107261056,0.0,0.00075,0.1075,0.778225,0.8664661654135338,0.476715788090748,0.6561291839910938,0.06,0.04,0.6666666666666666,0.04556599707503495,0.11764705882352944
Glass,0.7456213884049783,0.35845137663168464,0.0009163543173217826,0.8972602739726028,0.6027397260273972,0.01636841900586957,0.2465753424657534,0.20205479452054792,0.1232876712328767,0.3500375173699994,0.23287671232876717,0.18630136986301368,0.5205479452054794,0.9536498404954025,0.7919697685403874,0.21877445524101924,0.6949429147522433,0.06164383561643835,0.03424657534246575,0.5555555555555556,0.0012186069272440703,0.0033720494567254233
Diabetes Early,0.3855667567287114,0.1119825787467966,0.6216216216216217,0.9846153846153847,0.9846153846153847,0.009377990278951257,0.06153846153846154,0.027115384615384618,0.0375,0.1390101539454702,0.02115384615384619,0.028846153846153844,0.275,0.9218084319526627,0.9578627538165111,0.27294700190457166,0.855144630699642,0.03076923076923077,0.026923076923076925,0.875,0.038763395277124135,0.101123595505618
