dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Digits_69,0.025105760613456287,0.003405093293543204,0.0,0.01,0.0,0.0,0.0,0.0,0.0016666666666666668,0.2811408436928139,0.0,0.0,0.20666666666666667,0.6105444444444444,0.9539353400222965,0.5243637808005642,0.8358648876960747,0.21333333333333335,0.08666666666666667,0.40625,0.0,0.0
Breast Cancer,0.2051184024315668,0.058440411997156085,1.855129975250147e-09,0.4533333333333333,0.0,0.0022883549809758455,0.016666666666666666,0.013333333333333334,0.03166666666666667,0.3439899134936074,0.05666666666666664,0.01,0.31,0.8746777777777778,0.8049721293199554,0.3378473880431806,0.6285277905014485,0.1,0.03,0.3,0.04680282745694431,0.12061476779151348
Ionosphere,0.6051811547449882,0.1306183706255302,0.0,0.82,0.01,0.0045944377256201974,0.06666666666666667,0.05,0.07,0.36520960268422653,0.1266666666666667,0.15666666666666668,0.43333333333333335,0.8968111111111111,0.9039687848383501,0.4538707530130124,0.7293883436134267,0.11333333333333333,0.07666666666666666,0.6764705882352942,0.057316810744507785,0.14540059347181
Statlog Heart,0.5678326520224957,0.17076653642942433,0.1959058832005507,0.9851851851851852,0.937037037037037,0.02546783605501527,0.14444444444444443,0.05925925925925926,0.12037037037037036,0.36398125474089793,0.24444444444444446,0.1,0.5444444444444444,0.9653497942386832,0.9742255266418836,0.6005037227702433,0.8768975633568845,0.04814814814814815,0.03333333333333333,0.6923076923076923,0.008923940161777777,0.024390243902438935
Mushroom,0.4505545165464383,0.053167920374472336,0.0,0.72,0.0,0.006155601149904237,0.03333333333333333,0.01,0.023333333333333334,0.19947008152048318,0.013333333333333308,0.04,0.15666666666666668,0.8687666666666667,0.9146042363433667,0.3202798230420647,0.8172594752835403,0.07333333333333333,0.04666666666666667,0.6363636363636364,0.0008016457363603235,0.00221975582685896
Monks,0.6656979370576722,0.48418363360206224,0.6666666666666667,0.7466666666666667,0.7466666666666667,0.07035954630103099,0.3466666666666667,0.28,0.13333333333333333,0.39865283533046175,0.31000000000000005,0.16333333333333333,0.77,0.9897111111111111,0.9626978818283166,0.5845310186602756,0.8918714411397886,0.02,0.02,1.0,0.0,0.0
Credit Approval,0.30822171748432997,0.12960176801109471,0.003225831022158301,0.9533333333333334,0.8666666666666667,0.01559332523612504,0.11,0.07,0.1,0.3178899183293685,0.20333333333333337,0.06333333333333334,0.4266666666666667,0.9676888888888889,0.9731772575250837,0.5465500945080817,0.9090833190314073,0.05,0.03333333333333333,0.6666666666666666,0.009285245386868923,0.02536311378296552
Australian,0.3133059118013158,0.1385141680121185,0.033900506649508846,0.9566666666666667,0.9033333333333333,0.023703236834002377,0.12666666666666668,0.08666666666666667,0.10166666666666667,0.3321296157371917,0.19999999999999996,0.10666666666666667,0.43,0.9743444444444445,0.9737123745819398,0.49329203960497314,0.8846169849728401,0.04666666666666667,0.03333333333333333,0.7142857142857143,0.009285245386868923,0.02536311378296552
Wdbc,0.23811195723469733,0.0639118560650205,3.174956343952391e-11,0.46,0.0,0.0015682118658824423,0.016666666666666666,0.016666666666666666,0.023333333333333334,0.35001490368723787,0.050000000000000044,0.023333333333333334,0.2966666666666667,0.8829666666666667,0.7909476031215161,0.330659080910626,0.6251859011018268,0.1,0.03333333333333333,0.3333333333333333,0.04680282745694431,0.12061476779151348
Spect Heart,0.7545821632755938,0.294726095369405,0.0,0.8576779026217228,0.7902621722846442,0.021732047701746648,0.12359550561797752,0.11235955056179775,0.12921348314606743,0.4091692136833606,0.27340823970037453,0.10861423220973783,0.5917602996254682,0.9741755390032123,0.9578158880346934,0.5836903829123545,0.8676975697223526,0.08239700374531835,0.06741573033707865,0.8181818181818182,0.2662475912010398,0.5138526965331776
