dataset,c1,c2,c3,c4,l1,l2,l3,s1,s2,s3,s4,t2,meta_label
Syn_Reg_corr_quad,0.8794484383159812,0.7863666633332963,0.05,0.0,0.004186806634132664,2.8209106804369643e-05,0.04397434662762162,0.3323119420549346,0.0030552036739999342,2.1133888638136708e-05,0.0009583621539333953,50.0,unit
Syn_Reg_corr_sin,0.7420393559928443,0.42616606851187233,0.36666666666666664,0.12333333333333334,0.027375492487065937,0.0012029295655035784,0.08344874743832346,0.43778983500030166,0.010735936858248385,0.0008327890848454176,0.002961433507731549,60.0,unit
Syn_Reg_friedman1,0.530115667951866,0.20373950821675796,0.71,0.14666666666666667,0.07674863698550731,0.009376937550615817,0.12779351529063598,1.218343029832095,0.024353582662880246,0.007117918751234251,0.007421446910337744,30.0,unit
Syn_Reg_friedman1_15f,0.4893658818431315,0.14847276080845342,0.6833333333333333,0.10333333333333333,0.07588440879239322,0.00972520029751983,0.14791401526405007,1.5378992866765118,0.03464694763290294,0.008152410792583985,0.009127375249462494,20.0,RY
Syn_Reg_friedman1_5f,0.6212762364026266,0.3644927610306781,0.55,0.14666666666666667,0.07097437035153153,0.00823181879985072,0.07840688623903068,0.8076645495024294,0.007694539410796966,0.006002544719075033,0.004455139977602251,60.0,RY
Syn_Reg_friedman1_noise,0.5307414526828076,0.19567604084489826,0.6633333333333333,0.13333333333333333,0.07919675042552447,0.010018700123052164,0.12870516400798032,1.2370453358715257,0.024120412901277824,0.008015610947716172,0.008441371343809748,30.0,unit
Syn_Reg_friedman2,0.7743108256758408,0.3540303781153123,0.2733333333333333,0.13,0.06541657855516018,0.007392619387235667,0.062217291521100254,0.678456286940788,0.005695860560447989,0.0057372595607336815,0.0019977752065260096,75.0,unit
Syn_Reg_friedman2_noise,0.7744219380215337,0.35392559917332417,0.2733333333333333,0.12333333333333334,0.06536263459382513,0.007381205490950009,0.06218605735208944,0.681192581689021,0.005687571363749212,0.00630467610271874,0.002129175744197221,75.0,unit
Syn_Reg_friedman3,0.6255260614006822,0.4192371026344738,0.5733333333333334,0.22,0.10600412769658021,0.019207180770890366,0.07652216667250485,0.6849623657289258,0.01646153746339343,0.016369917095330314,0.006610327400422992,75.0,unit
Syn_Reg_friedman3_noise,0.34873720819120213,0.2370428560317337,0.7433333333333333,0.24,0.12917589335776083,0.026737195281833735,0.1631095135366041,0.7860063615728524,0.039820187360717976,0.023665221851028834,0.016432212212900216,75.0,unit
Syn_Reg_hetero_10f,0.4776626406960078,0.25392313247924975,0.6466666666666666,0.04,0.034844311478468185,0.002981428471040547,0.09420370846655789,0.7148660738489048,0.014388669587551636,0.0020692244359915147,0.004059905500139367,30.0,unit
Syn_Reg_hetero_corr,0.5236142623806931,0.3358474353418741,0.6666666666666666,0.06,0.03532885222500396,0.0034515110283310515,0.07811654845668288,0.5249555391126063,0.010969772292142629,0.0023570473233581407,0.004671232572664712,50.0,unit
Syn_Reg_hetero_high,0.2488672096356626,0.17075056389515436,0.8366666666666667,0.21,0.06885121376063362,0.011593798012888061,0.09831822967133978,0.4361957916738389,0.024333554206576097,0.010650422725494336,0.009947874133752421,75.0,RY
Syn_Reg_hetero_highdim,0.5300845564950721,0.29853042811586794,0.6033333333333334,0.056666666666666664,0.03467105883578339,0.0028509966857946816,0.10355484187930934,0.6039394373626745,0.017155737351375842,0.002115413500293224,0.005557339920347216,37.5,unit
Syn_Reg_hetero_low,0.5670200780008667,0.3502536694852165,0.53,0.2,0.06851409143897379,0.011480540481085504,0.10692643694605888,0.4099020560213139,0.024956207189816768,0.00875366247717366,0.008205936398337147,75.0,RY
Syn_Reg_hetero_small_n,0.7445424542454245,0.29377737773777374,0.26,0.1,0.06995842340528938,0.008796362378019607,0.10754813643260995,0.44695476951026925,0.0225125433868929,0.006169049418236353,0.007422637045292267,25.0,unit
Syn_Reg_highdim_10f,0.8180157557306191,0.20025586950966118,0.21333333333333335,0.11,0.001264533478907678,2.5117689364585584e-06,0.10134789126523866,0.7177355155685768,0.015681545038670513,1.892047532993023e-06,0.005138179587617027,30.0,unit
Syn_Reg_highdim_20f,0.6973548594984389,0.1209769664107379,0.43,0.06666666666666667,0.0010173436963626325,1.669885613123437e-06,0.13307842808760084,1.045496546110082,0.029366031777618436,1.2669567715423608e-06,0.007401738441850091,15.0,RY
Syn_Reg_highdim_30f,0.7856140623784708,0.10289342474175639,0.27,0.0,0.0008493396574927616,1.1176367349745933e-06,0.1162466898732983,1.2870893260730887,0.020578617506805764,6.865840560859776e-07,0.005995526911317359,10.0,RY
Syn_Reg_interact_2f,0.6111152346137179,0.2565971844131601,0.47,0.07,0.05722963592460104,0.007341101774373796,0.0424916583251032,0.41544840181811205,0.0033520769606145057,0.005769912862758313,0.0029066796341072378,75.0,RY
Syn_Reg_interact_3f,0.4631460349559439,0.3213226813631262,0.67,0.09666666666666666,0.0531193106587137,0.00574327971283331,0.08086637021781125,0.5397028048052164,0.009746347842211454,0.0038529609595909266,0.004554756377073538,50.0,RY
Syn_Reg_interact_4f_lownoise,0.4479463105145612,0.30439434512235325,0.6466666666666666,0.08,0.057801315898443256,0.007805537484004098,0.06875473434739628,0.5242779597328304,0.007685308184835021,0.005500490461581621,0.0038752701225292802,50.0,RY
Syn_Reg_interact_5f,0.5029429215880177,0.22269291881020897,0.6433333333333333,0.06333333333333334,0.06380438549364255,0.00774144986462545,0.07689241694107966,0.6374353618123672,0.009744890176053074,0.006254288843392574,0.004632485441466123,37.5,unit
